Amabel
Amira
Annora
Avice
Beatriz
Bellaflor
Berenice
Bogdana
Brenna
Bronwen
Catalina
Cecilia
Celestina
Clotilda
Colette
Edith
Eithne
Emmeline
Euphemia
Eydis
Frida
Genevieve
Godiva
Gratiana
Hildegund
Honora
Isabeau
Jehane
Lavinia
Lucia
Maude
Melanie
Millicent
Minerva
Mirabel
Sibyl
Thomasina
Winifred
